overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
56,60,59,40,62,59,50,60,44,59,55,57,70,65,80,50,75,62,79,68,71,55,52,59,56,41,39,59,62,51,0.4,0,0,0,0,0,0,1,0,0,0,0,0
55,65,46,35,61,65,40,53,36,37,54,57,62,61,55,52,70,63,68,73,53,40,57,61,51,43,55,53,55,35,0.384615385,1,0,0,0,0,0,0,0,0,0,0,0
52,57,55,34,57,54,30,41,32,49,51,48,50,60,58,52,71,55,54,51,64,35,53,49,38,36,49,56,50,40,0.4,0,0,0,0,0,0,0,0,0,1,0,0
58,70,63,42,50,55,57,50,39,47,50,64,53,53,49,56,69,52,39,54,58,55,72,58,62,62,62,55,63,58,0.425,0,0,0,0,0,0,0,0,0,1,0,0
64,66,63,54,45,61,52,67,57,56,55,62,68,70,68,64,66,64,68,70,66,58,69,63,56,61,59,66,69,71,0.37037037,0,0,0,0,0,0,0,0,0,0,1,0
57,60,58,50,58,46,49,60,58,42,53,66,54,59,71,59,73,46,57,66,62,43,52,56,55,47,39,63,60,65,0.4,0,0,0,0,0,0,1,0,0,0,0,0
68,71,54,66,63,60,62,63,65,69,53,63,82,84,67,67,58,79,65,70,76,64,51,27,65,53,66,30,33,29,0.5,0,0,0,0,0,0,0,0,0,0,0,1
56,60,44,56,55,62,35,52,44,51,55,59,63,69,67,55,60,62,56,56,67,37,58,62,60,45,56,51,49,50,0.384615385,1,0,0,0,0,0,0,0,0,0,0,0
60,62,65,40,50,64,55,62,30,55,57,58,68,59,56,44,70,56,74,56,66,44,54,62,44,54,55,56,65,65,0.362068966,0,1,0,0,0,0,0,0,0,0,0,0
52,59,63,45,53,49,56,25,28,56,58,47,63,55,45,53,59,41,46,56,50,48,44,47,39,41,42,50,55,65,0.368421053,0,0,1,0,0,0,0,0,0,0,0,0
64,71,52,65,52,60,50,67,52,51,58,64,73,77,72,62,66,69,64,67,64,54,59,37,65,59,60,30,30,23,0.461538462,0,0,0,0,0,0,1,0,0,0,0,0
67,68,69,53,56,64,60,60,64,54,62,68,76,76,74,67,70,66,67,74,63,48,66,55,65,60,60,55,60,60,0.363636364,0,0,0,0,0,0,0,0,1,0,0,0
59,60,35,34,41,66,39,45,24,41,69,66,50,52,56,55,86,52,65,68,60,35,52,74,47,49,47,52,55,46,0.363636364,0,0,0,0,0,0,0,0,0,0,0,1
74,76,46,78,76,58,69,69,64,67,41,72,70,72,72,73,52,74,63,75,78,69,63,26,78,68,75,18,18,16,0.366666667,0,0,0,0,0,0,0,0,0,0,0,1
52,64,47,39,52,61,54,53,37,44,53,52,59,52,56,41,57,52,56,62,59,43,63,47,44,56,58,49,48,44,0.4,0,1,0,0,0,0,0,0,0,0,0,0
67,71,64,48,71,62,53,54,43,48,48,66,52,64,60,68,64,66,66,67,71,49,72,68,50,52,63,66,66,66,0.388888889,0,0,0,0,0,0,0,1,0,0,0,0
70,75,57,26,73,61,26,47,47,42,62,58,61,66,58,71,74,30,77,61,73,32,72,61,34,47,43,70,77,64,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0
70,73,58,56,71,70,66,54,42,69,67,67,56,63,52,70,70,78,46,74,81,70,74,70,52,62,60,71,73,65,0.41025641,0,0,0,0,0,1,0,0,0,0,0,0
71,73,74,44,64,73,54,68,67,61,65,70,70,71,64,73,67,69,63,72,71,57,70,70,56,56,53,70,74,73,0.430232558,0,1,0,0,0,0,0,0,0,0,0,0
68,69,61,32,62,65,46,62,32,39,61,65,61,56,59,64,57,54,59,74,80,39,83,73,63,68,64,62,67,66,0.411764706,0,0,0,0,0,0,0,0,0,0,0,1
67,74,42,21,76,52,41,36,37,44,56,54,56,61,51,60,68,48,71,62,82,21,72,53,44,48,47,66,68,61,0.428571429,0,0,0,0,1,0,0,0,0,0,0,0
70,71,58,63,63,73,71,61,60,57,71,70,60,63,55,63,52,69,65,72,76,67,55,68,54,71,61,68,73,66,0,0,0,0,0,0,0,0,1,0,0,0,0
61,63,62,56,33,61,59.47717988,73,67.3066526,66,60,71,61,58,74.59738438,56,69.90093557,58,59.43304272,46,48,61,38,46,51,62.73884973,56,21,22,30.46767329,0,0,0,0,0,0,0,0,0,1,0,0,0
65,74,38,30,55,44,37.64714443,36,36.91800609,47,34,55,54,58,53.98424238,62,62.16331761,50,71.66823499,72,78,35,71,59,55,45.5106264,48,66,65,66.43142143,0,0,0,0,0,0,0,0,1,0,0,0,0
