match_api_id,team_api_id,team_type,spread,status,fire,water,earth,air,Aries,Leo,Sagittarius,Cancer,Scopio,Pisces,Taurus,Virgo,Capricorn,Gemini,Libra,Aquarius,TeamGoal
663685,9930,home,3,lose,1,1,5,4,0,1,0,0,0,1,0,5,0,1,2,1,1
663689,9956,away,2,lose,2,4,2,3,0,1,1,1,2,1,0,0,2,0,3,0,1
663692,7955,home,1,lose,1,1,6,3,0,0,1,1,0,0,1,3,2,1,1,1,1
663697,9931,home,2,lose,1,3,4,3,1,0,0,1,1,1,0,3,1,2,0,1,1
663698,10199,away,1,lose,1,4,3,3,0,1,0,0,2,2,0,0,3,1,1,1,1
663699,10190,home,1,win,3,3,3,2,2,1,0,1,0,2,1,2,0,0,1,1,1
663703,10179,home,2,lose,0,5,3,3,0,0,0,2,2,1,1,2,0,3,0,0,1
663705,10190,home,2,lose,3,3,3,2,2,1,0,2,0,1,1,2,0,0,1,1,1
663706,9931,away,1,lose,0,3,3,5,0,0,0,2,0,1,0,2,1,2,1,2,1
663708,9956,away,2,lose,2,2,3,4,0,1,1,0,1,1,0,1,2,0,4,0,1
663717,10199,away,1,lose,0,5,3,3,0,0,0,1,1,3,0,0,3,1,1,1,1
663723,10243,away,1,lose,0,7,3,1,0,0,0,3,2,2,1,1,1,0,0,1,1
663729,9930,away,1,lose,1,1,8,1,1,0,0,0,0,1,2,6,0,0,0,1,1
663730,10192,home,1,lose,3,3,3,2,1,2,0,1,0,2,2,0,1,0,0,2,1
663732,10179,home,1,win,1,3,3,4,0,1,0,2,1,0,1,2,0,4,0,0,1
663733,10190,away,2,lose,3,2,3,3,2,1,0,2,0,0,1,1,1,0,0,3,1
663735,10190,home,1,win,2,2,3,4,2,0,0,1,0,1,1,1,1,0,1,3,1
663737,6493,away,6,lose,2,5,3,1,1,1,0,3,0,2,1,2,0,1,0,0,1
663739,9956,home,2,lose,3,3,3,2,0,2,1,1,1,1,0,0,3,0,1,1,1
663746,10199,home,1,win,2,5,2,2,1,0,1,0,2,3,0,0,2,0,2,0,1
663747,10192,home,2,lose,2,3,2,4,1,1,0,1,0,2,1,0,1,0,1,3,1
663748,7955,home,3,lose,2,2,4,3,1,0,1,1,0,1,0,3,1,0,2,1,1
663750,9956,away,1,win,2,4,2,3,0,1,1,2,1,1,0,0,2,0,2,1,1
663751,10179,home,2,lose,1,5,2,3,0,1,0,2,1,2,1,1,0,3,0,0,1
663755,10190,home,1,lose,3,2,3,3,2,1,0,1,0,1,1,2,0,0,0,3,1
663757,9956,home,1,win,1,3,4,3,0,0,1,1,1,1,0,0,4,0,2,1,1
663758,10192,home,1,win,2,4,3,2,0,2,0,1,1,2,2,0,1,0,0,2,1
665321,9984,away,2,lose,0,5,3,3,0,0,0,1,3,1,1,1,1,2,1,0,1
665330,8203,home,1,lose,0,3,2,6,0,0,0,1,0,2,1,1,0,2,3,1,1
665340,8342,home,1,lose,4,2,4,1,3,1,0,0,0,2,1,2,1,1,0,0,1
665346,9994,home,3,lose,4,2,4,1,2,1,1,0,0,2,2,1,1,1,0,0,1
665349,9993,away,2,lose,5,3,3,0,3,2,0,0,1,2,1,1,1,0,0,0,1
665357,8571,home,1,win,4,4,3,0,3,1,0,1,2,1,1,1,1,0,0,0,1
665360,10001,away,1,lose,2,2,4,3,0,0,2,1,0,1,2,0,2,2,1,0,1
665366,9999,home,4,lose,2,1,3,5,1,0,1,0,0,1,1,0,2,2,2,1,1
665368,9994,home,1,lose,4,1,4,2,2,1,1,0,0,1,2,1,1,1,1,0,1
665374,9984,away,1,lose,3,2,3,3,2,0,1,0,2,0,1,1,1,1,2,0,1
665376,9994,away,2,lose,5,2,2,2,1,1,3,0,0,2,1,0,1,1,1,0,1
665380,10001,away,3,lose,4,2,4,1,1,1,2,1,0,1,1,0,3,1,0,0,1
665384,10000,home,2,lose,2,3,3,3,1,1,0,0,1,2,0,3,0,0,2,1,1
665393,9993,home,1,win,4,4,3,0,3,1,0,1,2,1,1,1,1,0,0,0,1
665396,8635,home,1,win,3,2,2,4,2,1,0,1,0,1,2,0,0,1,2,1,1
665402,9984,home,1,win,3,4,2,2,2,0,1,1,2,1,1,0,1,0,2,0,1
665421,10001,home,2,lose,5,2,2,2,1,2,2,1,0,1,0,0,2,2,0,0,1
665425,8342,home,1,win,3,2,3,3,2,1,0,0,0,2,0,2,1,1,1,1,1
665427,9987,away,1,lose,2,2,4,3,0,0,2,0,0,2,3,0,1,0,3,0,1
665541,9993,away,1,win,4,4,3,0,3,1,0,1,2,1,0,1,2,0,0,0,1
665548,8342,home,2,lose,5,2,2,2,4,1,0,0,0,2,0,1,1,1,0,1,1
665554,10001,home,1,lose,6,2,1,2,1,3,2,1,0,1,0,0,1,1,0,1,1
665570,9999,home,2,lose,3,1,4,3,2,0,1,0,0,1,2,0,2,1,1,1,1
